sample_name	reference	strain	sampleacc	studyaccession	species	species_match	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	date	strain2	main_st	neonate	major_wards	amikacin_30	ampicillin_10	ampicillin_2	augmentin_30	cefoxitin_10_(clox)	cefoxitin_30	cefpodoxime_10	cefpodoxime_10_(ceftriaxone)	ceftazidime	ceftriaxone_30	ceftriaxone_5	chloramphenicol_10	chloramphenicol_30	ciprofloxacin_(e-test)	ciprofloxacin_5	co-trimoxazole_25	cotrimoxazole_25	erythromycin_15	erythromycin_5	gentamicin_10	gentamicin10	meropenem	meropenem_10	oxacillin_1_(pen)	pefloxacin_5	penicillin_1	piperacillin/_tazobactam(ptz)	piperacillin/tazobactam_36	quinupristin/dalfopristin_(qd15)	tetracycline_10	tetracycline_30	vancomycin_5
ERR971948	Musicha et al	16228_1#2	ERS669070	ERP009326	Klebsiella pneumoniae	strong	0	0	6	11	2006	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971976	Musicha et al	16228_1#30	ERS669124	ERP009326	Klebsiella pneumoniae	strong	0	1	6	8	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971977	Musicha et al	16228_1#31	ERS669126	ERP009326	Klebsiella pneumoniae	strong	0	1	7	8	2009	NA	ST39	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971978	Musicha et al	16228_1#32	ERS669127	ERP009326	Klebsiella pneumoniae	strong	1	1	7	10	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971980	Musicha et al	16228_1#34	ERS669131	ERP009326	Klebsiella pneumoniae	strong	0	1	9	17	2010	NA	ST15	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971982	Musicha et al	16228_1#36	ERS669134	ERP009326	Klebsiella pneumoniae	strong	0	1	8	12	2011	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971984	Musicha et al	16228_1#38	ERS669141	ERP009326	Klebsiella pneumoniae	strong	0	1	8	12	2012	NA	ST307	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971985	Musicha et al	16228_1#39	ERS669143	ERP009326	Klebsiella pneumoniae	strong	0	1	7	11	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971949	Musicha et al	16228_1#3	ERS669071	ERP009326	Klebsiella pneumoniae	strong	0	1	6	6	2019	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971986	Musicha et al	16228_1#40	ERS669145	ERP009326	Klebsiella pneumoniae	strong	0	1	8	11	2004	NA	ST15	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971993	Musicha et al	16228_1#47	ERS669056	ERP009326	Klebsiella pneumoniae	strong	0	1	9	18	NA	NA	ST307	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971950	Musicha et al	16228_1#4	ERS669072	ERP009326	Klebsiella variicola subsp. variicola	strong	0	0	0	0	2014	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971996	Musicha et al	16228_1#50	ERS669078	ERP009326	Klebsiella pneumoniae	strong	0	1	6	6	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971997	Musicha et al	16228_1#51	ERS669080	ERP009326	Klebsiella pneumoniae	strong	4	0	6	8	1997	NA	ST48	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971998	Musicha et al	16228_1#52	ERS669082	ERP009326	Klebsiella pneumoniae	strong	4	0	7	10	2000	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971999	Musicha et al	16228_1#53	ERS669088	ERP009326	Klebsiella pneumoniae	strong	0	0	5	6	2006	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972000	Musicha et al	16228_1#54	ERS669091	ERP009326	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	0	0	0	0	2000	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972001	Musicha et al	16228_1#55	ERS669092	ERP009326	Klebsiella pneumoniae	strong	0	0	1	2	2004	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972002	Musicha et al	16228_1#56	ERS669093	ERP009326	Klebsiella pneumoniae	strong	3	0	4	8	1998	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972003	Musicha et al	16228_1#57	ERS669094	ERP009326	Klebsiella pneumoniae	strong	1	1	8	12	2007	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972004	Musicha et al	16228_1#58	ERS669095	ERP009326	Klebsiella pneumoniae	strong	0	0	6	7	2000	NA	ST25	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972005	Musicha et al	16228_1#59	ERS669096	ERP009326	Klebsiella pneumoniae	strong	0	0	6	10	2005	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971951	Musicha et al	16228_1#5	ERS669073	ERP009326	Klebsiella pneumoniae	strong	0	1	9	17	2013	NA	ST340	n	PAEDIATRIC ONCOLOGY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972006	Musicha et al	16228_1#60	ERS669097	ERP009326	Klebsiella pneumoniae	strong	0	0	0	0	2005	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972007	Musicha et al	16228_1#61	ERS669098	ERP009326	Klebsiella pneumoniae	strong	3	0	6	6	1999	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972009	Musicha et al	16228_1#63	ERS669102	ERP009326	Klebsiella pneumoniae	strong	0	1	6	8	2008	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972010	Musicha et al	16228_1#64	ERS669104	ERP009326	Klebsiella pneumoniae	strong	5	0	5	7	2004	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972011	Musicha et al	16228_1#65	ERS669105	ERP009326	Klebsiella pneumoniae	strong	0	0	7	9	2005	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972012	Musicha et al	16228_1#66	ERS669106	ERP009326	Klebsiella pneumoniae	strong	0	1	7	9	2008	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972013	Musicha et al	16228_1#67	ERS669108	ERP009326	Klebsiella pneumoniae	strong	0	0	6	8	2006	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972014	Musicha et al	16228_1#68	ERS669109	ERP009326	Klebsiella pneumoniae	strong	0	0	6	8	2007	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972015	Musicha et al	16228_1#69	ERS669110	ERP009326	Klebsiella pneumoniae	strong	0	0	6	8	2006	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971952	Musicha et al	16228_1#6	ERS669074	ERP009326	Klebsiella pneumoniae	strong	1	1	7	12	2006	NA	ST101	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972016	Musicha et al	16228_1#70	ERS669111	ERP009326	Klebsiella pneumoniae	strong	3	0	5	9	1999	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972017	Musicha et al	16228_1#71	ERS669112	ERP009326	Klebsiella pneumoniae	strong	3	0	6	8	2005	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972018	Musicha et al	16228_1#72	ERS669117	ERP009326	Klebsiella pneumoniae	strong	0	0	7	9	2008	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972019	Musicha et al	16228_1#73	ERS669118	ERP009326	Klebsiella pneumoniae	strong	0	1	6	9	2009	NA	ST101	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972020	Musicha et al	16228_1#74	ERS669121	ERP009326	Klebsiella pneumoniae	strong	1	1	4	3	2009	NA	ST15	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972021	Musicha et al	16228_1#75	ERS669122	ERP009326	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	0	1	9	17	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972022	Musicha et al	16228_1#76	ERS669125	ERP009326	Klebsiella pneumoniae	strong	0	1	6	6	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972023	Musicha et al	16228_1#77	ERS669129	ERP009326	Klebsiella pneumoniae	strong	5	0	5	8	2006	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972024	Musicha et al	16228_1#78	ERS669130	ERP009326	Klebsiella pneumoniae	strong	0	1	6	9	2009	NA	ST101	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972025	Musicha et al	16228_1#79	ERS669132	ERP009326	Klebsiella pneumoniae	strong	0	1	9	16	2011	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971953	Musicha et al	16228_1#7	ERS669075	ERP009326	Klebsiella pneumoniae	strong	0	0	2	3	1996	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972026	Musicha et al	16228_1#80	ERS669135	ERP009326	Klebsiella pneumoniae	strong	0	1	8	14	2006	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972027	Musicha et al	16228_1#81	ERS669136	ERP009326	Klebsiella pneumoniae	strong	1	1	9	16	2008	NA	ST48	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972028	Musicha et al	16228_1#82	ERS669137	ERP009326	Klebsiella pneumoniae	strong	0	0	2	2	2005	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972029	Musicha et al	16228_1#83	ERS669139	ERP009326	Klebsiella pneumoniae	strong	3	1	8	16	2010	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972030	Musicha et al	16228_1#84	ERS669140	ERP009326	Klebsiella pneumoniae	strong	0	1	6	10	2009	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR972031	Musicha et al	16228_1#85	ERS669142	ERP009326	Klebsiella pneumoniae	strong	1	1	9	17	2012	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971954	Musicha et al	16228_1#8	ERS669076	ERP009326	Klebsiella pneumoniae	strong	0	1	6	6	2014	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971955	Musicha et al	16228_1#9	ERS669077	ERP009326	Klebsiella pneumoniae	strong	0	0	3	3	2007	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497242	Cornick et al 2021	22072_1#101	ERS1530960	ERP021324	Klebsiella pneumoniae	strong	0	1	6	6	2014	NA	other	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497243	Cornick et al 2021	22072_1#102	ERS1530961	ERP021324	Klebsiella pneumoniae	strong	0	1	6	6	2014	NA	other	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	S	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497244	Cornick et al 2021	22072_1#103	ERS1530962	ERP021324	Klebsiella pneumoniae	strong	0	1	9	15	2014	NA	ST340	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497246	Cornick et al 2021	22072_1#105	ERS1530964	ERP021324	Klebsiella pneumoniae	strong	0	1	9	15	2014	NA	ST340	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497247	Cornick et al 2021	22072_1#106	ERS1530965	ERP021324	Klebsiella pneumoniae	strong	0	1	7	11	2014	NA	other	n	CHATINKHA NURSERY	S	R	NA	S	NA	NA	NA	R	NA	NA	NA	NA	R	NA	S	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497248	Cornick et al 2021	22072_1#107	ERS1530966	ERP021324	Klebsiella pneumoniae	strong	0	1	9	15	2014	NA	ST340	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497251	Cornick et al 2021	22072_1#110	ERS1530969	ERP021324	Klebsiella pneumoniae	strong	0	1	9	15	2014	NA	ST340	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497252	Cornick et al 2021	22072_1#111	ERS1530970	ERP021324	Klebsiella pneumoniae	strong	0	1	9	15	2014	NA	ST340	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR2497253	Cornick et al 2021	22072_1#112	ERS1530971	ERP021324	Klebsiella pneumoniae	strong	0	1	9	15	2014	NA	ST340	n	CHATINKHA NURSERY	S	R	NA	R	NA	NA	NA	R	NA	NA	NA	NA	R	NA	R	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
